,,
Lab Day,Lab Time (3hr),Lab Room
THU,11:00 AM,FT11-04L
THU,2:00 PM,FT11-04L
SAT,8:00 AM,FT11-03L
TUE,2:00 PM,FT11-03L
SAT,11:00 AM,FT11-03L
SAT,2:00 PM,FT11-03L
SAT,2:00 PM,12B-18L
WED,11:00 AM,09B-08L
WED,11:00 AM,09B-09L
WED,2:00 PM,09B-09L
THU,8:00 AM,09B-08L
THU,11:00 AM,09B-08L
THU,8:00 AM,09B-11L
WED,2:00 PM,09B-08L
WED,8:00 AM,09B-09L
WED,8:00 AM,09B-10L
THU,8:00 AM,09B-09L
WED,11:00 AM,09B-10L
WED,8:00 AM,09E-21L
THU,2:00 PM,09B-09L
THU,11:00 AM,09B-11L
THU,11:00 AM,09B-10L
THU,2:00 PM,09B-10L
THU,2:00 PM,09B-11L
WED,11:00 AM,09B-11L
TUE,11:00 AM,09B-08L
WED,8:00 AM,09E-22L
WED,11:00 AM,09E-22L
WED,2:00 PM,09B-11L
TUE,2:00 PM,09B-08L
WED,2:00 PM,12F-32L
WED,2:00 PM,12D-27L
THU,11:00 AM,12F-32L
WED,11:00 AM,09E-21L
WED,2:00 PM,09B-10L
TUE,8:00 AM,09B-09L
TUE,11:00 AM,09B-09L
TUE,2:00 PM,09B-09L
TUE,8:00 AM,09B-10L
WED,8:00 AM,09F-24L
TUE,11:00 AM,09B-10L
WED,11:00 AM,09F-24L
WED,2:00 PM,09F-24L
WED,8:00 AM,09F-26L
TUE,2:00 PM,09B-10L
TUE,8:00 AM,09B-11L
SUN,11:00 AM,09B-10L
SUN,8:00 AM,09B-11L
MON,8:00 AM,09B-08L
MON,11:00 AM,09B-08L
SUN,8:00 AM,09B-08L
SUN,11:00 AM,09B-08L
MON,8:00 AM,09F-24L
MON,8:00 AM,09B-09L
MON,2:00 PM,09B-08L
SUN,8:00 AM,09B-09L
MON,11:00 AM,09B-09L
MON,2:00 PM,09B-09L
MON,8:00 AM,09B-10L
SUN,11:00 AM,09B-09L
SUN,2:00 PM,09B-09L
MON,11:00 AM,09B-10L
MON,2:00 PM,09B-10L
SUN,8:00 AM,09B-10L
SUN,2:00 PM,09B-10L
MON,8:00 AM,09B-11L
SUN,2:00 PM,09B-11L
MON,11:00 AM,09B-11L
MON,2:00 PM,09B-11L
MON,11:00 AM,09F-24L
MON,8:00 AM,09E-21L
SAT,8:00 AM,09B-08L
SUN,8:00 AM,09F-26L
SUN,11:00 AM,09F-26L
SUN,2:00 PM,09F-26L
SAT,11:00 AM,09B-08L
SAT,2:00 PM,09B-10L
SUN,8:00 AM,09F-27L
SUN,11:00 AM,09F-27L
SUN,2:00 PM,09F-27L
SAT,2:00 PM,09B-08L
SAT,8:00 AM,09B-09L
SAT,11:00 AM,09B-09L
SAT,2:00 PM,09B-09L
SAT,8:00 AM,09B-10L
SAT,8:00 AM,09B-11L
SAT,11:00 AM,09B-11L
SAT,11:00 AM,09B-10L
SUN,8:00 AM,09F-25L
SUN,11:00 AM,09F-25L
SUN,2:00 PM,09F-25L
SUN,11:00 AM,09B-11L
SUN,8:00 AM,09E-21L
SUN,11:00 AM,09E-21L
SAT,2:00 PM,09B-11L
MON,11:00 AM,12B-20L
MON,11:00 AM,12B-20L
WED,2:00 PM,12B-20L
WED,2:00 PM,12B-20L
SAT,8:00 AM,12B-20L
SAT,8:00 AM,12B-20L
THU,11:00 AM,12B-20L
THU,11:00 AM,12B-20L
MON,8:00 AM,12B-20L
MON,8:00 AM,12B-20L
SUN,2:00 PM,12B-20L
SUN,2:00 PM,12B-20L
TUE,8:00 AM,12B-20L
TUE,8:00 AM,12B-20L
THU,2:00 PM,12B-20L
THU,2:00 PM,12B-20L
TUE,11:00 AM,12B-20L
TUE,11:00 AM,12B-20L
SUN,8:00 AM,12B-20L
SUN,8:00 AM,12B-20L
WED,11:00 AM,12B-20L
WED,11:00 AM,12B-20L
SUN,11:00 AM,12B-20L
